WEEK ONE,,
DAY 1,,
EVENT,TYPE,HOURS
A1.010,LAB,8
Squadron INDOC,,
,,
,,
TRAINING HOURS,,8
WEEK TWO,,
DAY 6,,
EVENT,TYPE,HOURS
A1.060,SAC A,4
A1.070,CAI,4
,,
,,
TRAINING HOURS,,8
WEEK THREE,,
DAY 11,,
EVENT,TYPE,HOURS
A2.120,SAC B,4
A2.130,ICW,2
A2.140,ICW,2
,,
TRAINING HOURS,,8
WEEK FOUR,,
DAY 16,,
EVENT,TYPE,HOURS
A2.280,SAC E,5
A2.290,IGR,3
,,
TRAINING HOURS,,8
WEEK FIVE,,
DAY 21,,
EVENT,TYPE,HOURS
A3.090,SAC G,8
,,
,,
,,
TRAINING HOURS,,8
WEEK SIX,,
DAY 26,,
EVENT,TYPE,HOURS
A4.110,MSN PLN,3
A4.120,WTT 0,4
,,
,,
,,
TRAINING HOURS,,7
WEEK SEVEN,,
DAY 31,,
EVENT,TYPE,HOURS
A4.240,IGR,3
A4.250,PT,4
A4.260,CRT,0.5
A5.010,CAI,0.5
,,
,,
TRAINING HOURS,,8
WEEK EIGHT,,
DAY 36,,
EVENT,TYPE,HOURS
A5.210,SAC I,8
,,
,,
,,
,,
,,
,,
TRAINING HOURS,,8
WEEK NINE,,
DAY 41,,
EVENT,TYPE,HOURS
A5.320,MSN PLN,3
A5.330,AC SAR 2,5
,,
,,
TRAINING HOURS,,8
WEEK TEN,,
DAY 46,,
EVENT,TYPE,HOURS
A5.470,LAB,6
A5.480,LAB,2
,,
,,
TRAINING HOURS,,8
WEEK ELEVEN,,
DAY 51,,
EVENT,TYPE,HOURS
A6.040,ICW,3
A6.050,ICW,2
A6.060,ICW,2
,,
TRAINING HOURS,,7
WEEK TWELVE,,
DAY 56,,
EVENT,TYPE,HOURS
A6.160,MSN PLN,3
A6.170,NATS UTIL 4,3
,VERTREP,
,,
TRAINING HOURS,,6
WEEK THIRTEEN,,
DAY 61,,
EVENT,TYPE,HOURS
A14.070,PTT 13,1
A14.080,MSN PLN,3
A14.090,DIP SIM 1,4
,,
,,
TRAINING HOURS,,8
WEEK FOURTEEN,,
DAY 66,,
EVENT,TYPE,HOURS
A7.090,CAI ,2
A7.100,ICW ,2
A7.110,ICW ,3
TRAINING HOURS,,7
WEEK FIFTEEN,,
DAY 71,,
EVENT,TYPE,HOURS
A7.210,ICW,3
A7.220,PTT 2,2
,,
,,
TRAINING HOURS,,5
WEEK SIXTEEN,,
DAY 76,,
EVENT,TYPE,HOURS
A7.310,CAI,2
A7.320,CAI,2
A7.330,IGR,3
,,
,,
TRAINING HOURS,,7
WEEK SEVENTEEN,,
DAY 81,,
EVENT,TYPE,HOURS
A8.120,MSN PLN,3
A8.130,WTT 5,4
,,
,,
,,
TRAINING HOURS,,7
WEEK  EIGHTEEN,,
DAY 86,,
EVENT,TYPE,HOURS
A9.010,ICW,2
A9.015,ICW,2
A9.020,ICW,2
A9.025,ICW,2
,,
,,
TRAINING HOURS,,8
WEEK NINETEEN,,
DAY 91,,
EVENT,TYPE,HOURS
A9.065,MSN PLN,3
A9.070,WTT 7,4
,,
,,
,,
,,
TRAINING HOURS,,7
WEEK TWENTY,,
DAY 96,,
EVENT,TYPE,HOURS
A9.200, ,2
A9.210,CAI,1
A9.220,CAI,1
A9.230,CAI,1
A9.240,CAI,1
A9.250,CAI,1
TRAINING HOURS,,7
WEEK TWENTY ONE,,
DAY 101,,
EVENT,TYPE,HOURS
A9.260,SAC L,6
A9.270,PRE-FIRES,2
,,
,,
,,
,,
TRAINING HOURS,,8
WEEK TWENTY TWO,,
DAY 106,,
EVENT,TYPE,HOURS
A10.080,MSN PLN,3
A10.090,CST 1,4
,,
TRAINING HOURS,,7
WEEK TWENTY THREE,,
DAY 111,,
EVENT,TYPE,HOURS
A10.160,MSN PLN,3
A10.170,CST 5X,4
,,
,,
TRAINING HOURS,,7
WEEK TWENTY FOUR,,
DAY 116,,
EVENT,TYPE,HOURS
A11.050,IMAT,1
A11.060,IMAT,2
A11.070,IMAT,1
A11.080,IMAT,1
A11.090,IMAT,2
A11.100,IMAT,1
,,
TRAINING HOURS,,8
WEEK TWENTY FIVE,,
DAY 121,,
EVENT,TYPE,HOURS
A12.110,CAI,2
A12.120,CAI,2
